net,sta,loc,ch,lat,lon,wZ,wN,wE
IA,KMSI,,SH,0.5745,123.98,1.0,1.0,1.0
IA,KOMFI,,SH,-8.536,119.547,-1.0,-1.0,-1.0
IA,KORPI,,SH,-1.158,129.845,1.0,1.0,1.0
IA,KPJI,,SH,-7.3333,108.931,1.0,0.9,0.9
IA,KPJM,00,SH,-7.1883,111.9281,1.0,0.8,0.7
IA,KRAI,00,SH,-3.318326,128.39476,1.0,1.0,1.0
IA,KRJI,,SH,-2.0912,101.4619,1.0,0.9,0.9
IA,KRSI,00,SH,-1.82,119.42,1.0,0.8,0.7
IA,KSI,00,HH,-3.6517,102.5929,0.3,0.4,0.4
IA,KSI,01,HH,-3.6517,102.5929,0.3,0.4,0.4
IA,KTMI,00,SH,-7.669066,131.579205,-1.0,0.3,0.3
IA,KTTI,00,SH,-10.01356,124.5339,-1.0,-1.0,-1.0
IA,KUBSI,,SH,-4.78121,123.18684,1.0,0.9,1.0
IA,KUKI,,SH,-0.0394,115.6305,-1.0,-1.0,-1.0
IA,KUSI,00,SH,3.1964,97.3706,1.0,1.0,1.0
IA,KWJI,,SH,-7.3837,109.9691,1.0,1.0,1.0
IA,LASI,,SH,4.4572,97.9704,1.0,0.3,0.6
IA,LBFI,00,SH,-8.48,119.8921,1.0,1.0,1.0
IA,LBMI,,SH,-0.6379,127.5008,0.9,0.6,0.6
IA,LBMI,,BH,-0.6379,127.5008,-1.0,-1.0,-1.0
IA,LBNFM,,SH,-8.6017,119.0124,1.0,0.3,0.4
IA,LBNFM,,BH,-8.6017,119.0124,-1.0,-1.0,-1.0
IA,LBTSI,,SH,-0.475,100.625,1.0,1.0,1.0
IA,LDSI,,SH,2.886,98.157,1.0,1.0,1.0
IA,LEM,,SH,-6.8266,107.61756,-1.0,-1.0,-1.0
IA,LEM,,BH,-6.8266,107.61756,-1.0,-1.0,-1.0
IA,LEMFI,,SH,-8.707,120.172,1.0,0.9,0.9
IA,LESM,00,SH,-4.96147,103.71256,1.0,1.0,1.0
IA,LHMI,,SH,5.2288,96.9472,1.0,1.0,1.0
IA,LHMI,,BH,5.2288,96.9472,-1.0,-1.0,-1.0
IA,LHSI,,SH,-3.8267,103.5233,0.9,0.2,0.6
IA,LHSI,,BH,-3.8267,103.5233,-1.0,-1.0,-1.0
IA,LHSM,00,SH,-4.1779734,103.5742079,1.0,1.0,1.0
IA,LISM,00,SH,4.4785,96.78746,1.0,0.9,0.9
IA,LJPI,00,SH,-3.1271,139.945,-1.0,-1.0,-1.0
